City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pacific grove,36.6177,-121.9166,11.88,91,100,3.6,US,1684761414
1,albany,42.6001,-73.9662,15.15,62,1,0.45,US,1684761324
2,puerto natales,-51.7236,-72.4875,2.25,64,75,5.66,CL,1684761414
3,papatowai,-46.5619,169.4708,9.89,80,100,4.34,NZ,1684761415
4,tura,25.5198,90.2201,25.06,76,0,1.96,IN,1684761415
5,waitangi,-43.9535,-176.5597,12.5,74,7,1.8,NZ,1684761415
6,san patricio,28.017,-97.5169,23.91,87,1,3.04,US,1684761294
7,kinwat,19.6333,78.2,37.42,21,90,4.82,IN,1684761415
8,adamstown,-25.066,-130.1015,24.38,79,100,9.11,PN,1684761415
9,iqaluit,63.7506,-68.5145,-8.15,67,100,5.66,CA,1684761415
10,la passe,45.5549,-0.8967,24.13,73,85,3.2,FR,1684761415
11,floro,61.5996,5.0328,20.04,76,20,4.63,NO,1684761415
12,haiku-pauwela,20.9219,-156.3051,23.36,77,0,6.17,US,1684761415
13,port-aux-francais,-49.35,70.2167,6.48,91,54,9.38,TF,1684761415
14,kendari,-3.945,122.4989,24.33,90,21,1.05,ID,1684761416
15,kirensk,57.7853,108.1119,8.09,77,89,2.7,RU,1684761416
16,kodiak,57.79,-152.4072,5.73,87,100,6.17,US,1684761416
17,st. john's,47.5649,-52.7093,12.66,95,75,6.69,CA,1684761242
18,kourou,5.1552,-52.6478,27.03,90,100,3.59,GF,1684761178
19,vorgashor,67.5833,63.95,9.48,96,57,2.87,RU,1684761416
20,arkhangel'sk,64.5401,40.5433,22.56,26,100,1.82,RU,1684761125
21,hawaiian paradise park,19.5933,-154.9731,21.13,96,75,2.57,US,1684761416
22,pamandzi,-12.7967,45.2794,28.88,74,0,6.69,YT,1684761416
23,east london,-33.0153,27.9116,18.52,42,0,4.63,ZA,1684761376
24,guilin,25.2819,110.2864,18.06,85,100,4.33,CN,1684761416
25,blackmans bay,-43.0167,147.3167,12.07,68,56,3.58,AU,1684761416
26,ventspils,57.3894,21.5606,18.96,42,0,6.69,LV,1684761417
27,longyearbyen,78.2186,15.6401,4.91,70,75,6.17,SJ,1684761417
28,inarajan village,13.2736,144.7484,28.54,93,100,9.31,GU,1684761417
29,san andres,12.5847,-81.7006,29.01,79,20,3.09,CO,1684761417
30,sao bento,-6.2833,-37.75,28.11,54,20,4.78,BR,1684761417
31,fale old settlement,-9.3852,-171.2468,28.53,75,76,3.85,TK,1684761417
32,genhe,50.7833,121.5167,12.5,38,97,0.72,CN,1684761417
33,sao vicente,-23.9631,-46.3919,24.1,78,0,1.03,BR,1684761417
34,thompson,55.7435,-97.8558,6.09,52,100,2.57,CA,1684761347
35,edinburgh of the seven seas,-37.0676,-12.3116,13.16,68,77,12.07,SH,1684761418
36,manaure,11.7751,-72.4445,27.53,77,99,4.07,CO,1684761374
37,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,87,75,6.0,RU,1684761236
38,avarua,-21.2078,-159.775,23.03,64,20,2.06,CK,1684761418
39,sao gabriel da cachoeira,-0.1303,-67.0892,25.89,94,75,2.57,BR,1684761418
40,abak,4.9797,7.7917,30.94,66,99,1.58,NG,1684761418
41,bom jesus,-9.0744,-44.3586,30.61,43,2,3.53,BR,1684761418
42,dudinka,69.4058,86.1778,0.9,100,100,2.97,RU,1684761118
43,lebu,-37.6167,-73.65,9.72,88,33,4.35,CL,1684761418
44,gadzhiyevo,69.2551,33.3362,12.07,61,99,6.29,RU,1684761418
45,lihue,21.9789,-159.3672,23.77,86,100,6.69,US,1684761418
46,timmins,48.4669,-81.3331,5.9,49,20,3.09,CA,1684761418
47,crateus,-5.1783,-40.6775,29.88,51,65,4.54,BR,1684761418
48,papao,-17.75,-149.55,25.82,81,0,6.99,PF,1684761419
49,rethel,49.5,4.3333,22.95,71,77,5.08,FR,1684761419
50,kalmunai,7.4167,81.8167,28.15,78,32,3.84,LK,1684761419
51,nuku'alofa,-21.1333,-175.2,20.19,94,20,1.03,TO,1684761419
52,mermoz boabab,14.7065,-17.4758,31.31,65,0,7.2,SN,1684761419
53,ketchikan,55.3422,-131.6461,8.99,76,0,4.63,US,1684761342
54,grytviken,-54.2811,-36.5092,5.0,95,100,3.05,GS,1684761419
55,olonkinbyen,70.9221,-8.7187,1.44,90,6,7.36,SJ,1684761419
56,yorkton,51.2167,-102.4677,8.91,66,0,3.6,CA,1684761419
57,whitehorse,60.7161,-135.0538,1.43,64,75,1.54,CA,1684761302
58,corner brook,48.9667,-57.9484,9.09,69,100,4.67,CA,1684761420
59,pechora,65.1472,57.2244,19.29,35,5,0.95,RU,1684761420
60,bilibino,68.0546,166.4372,2.58,98,100,1.43,RU,1684761420
61,margaret river,-33.95,115.0667,17.24,83,100,3.01,AU,1684761420
62,susuman,62.7833,148.1667,1.43,88,100,1.92,RU,1684761420
63,nogliki,51.8333,143.1667,1.19,97,100,3.93,RU,1684761420
64,bikenibeu village,1.3673,173.1241,25.98,94,75,0.0,KI,1684761420
65,chibougamau,49.9168,-74.3659,-1.21,59,20,0.0,CA,1684761168
66,monessen,40.1484,-79.8878,16.83,84,1,1.4,US,1684761208
67,kuqa,41.7278,82.9364,24.59,15,29,8.1,CN,1684761420
